baily,constellation,member_type,seq,latin,english
726,Cet,figure,15,Sequens duarum quae sunt juxta caudam,The following of the two by the tail
727,Cet,figure,16,Antecedens ipsarum,The preceding of them
728,Cet,figure,17,"Borealis sequentis lateris figurae quadrilaterae, quae est in cauda",The northern one of the following side of the quadrilateral figure in the tail
729,Cet,figure,18,Australis sequentis lateris,The southern one of the following side
730,Cet,figure,19,Borealis praecedentis lateris,The northern one of the preceding side
731,Cet,figure,20,Australis praecedentis lateris,The southern one of the preceding side
732,Cet,figure,21,"De duabus quae sunt in extremis caudae, quae in boreali est","Of the two at the tail's ends, the one in the north"
733,Cet,figure,22,Quae in extremitate australi caudae,The one at the southern tip of the tail
734,Ori,figure,1,Nebulosa quae in capite Orionis est,The nebulous one in the head of Orion
735,Ori,figure,2,Splendida quae in humero dextro et est subrufa,"The brilliant one in the right shoulder, reddish"
736,Ori,figure,3,Quae in humero sinistro,The one in the left shoulder
737,Ori,figure,4,Quae sub ista sequitur,The one following below it
738,Ori,figure,5,Quae est in cubito dextro,The one in the right elbow
739,Ori,figure,6,Quae in brachio dextro,The one in the right arm
740,Ori,figure,7,Sequens et bina australis lateris figurae quadrilaterae quae est in extremitate manus dextrae,The following and double one of the southern side of the quadrilateral figure at the tip of the right hand
741,Ori,figure,8,Antecedens australis lateris,The preceding one of the southern side
742,Ori,figure,9,Sequens borealis lateris,The following one of the northern side
743,Ori,figure,10,Praecedens borealis lateris,The preceding one of the northern side
744,Ori,figure,11,Praecedens de duabus quae sunt in collorobo,The preceding of the two in the club
745,Ori,figure,12,Sequens ipsarum,The following of them
746,Ori,figure,13,Sequens de quatuor quae sunt in scapula quasi ad rectam lineam,"The following of the four in the shoulder-blade, almost in a straight line"
747,Ori,figure,14,Praecedens istam,The one preceding it
748,Ori,figure,15,Quae adhuc hanc praecedit,The one preceding that still
749,Ori,figure,16,Reliqua et antecedens de quatuor,The remaining and preceding one of the four
750,Ori,figure,17,Borealissima earum quae sunt in pelle manus sinistrae,The northernmost of those in the pelt of the left hand
751,Ori,figure,18,Secunda a borealissima,The second from the northernmost
752,Ori,figure,19,Tertia a borealissima,The third from the northernmost
753,Ori,figure,20,Quarta a borealissima,The fourth from the northernmost
754,Ori,figure,21,Quinta a borealissima,The fifth from the northernmost
755,Ori,figure,22,Sexta a borealissima,The sixth from the northernmost
756,Ori,figure,23,Septima a borealissima,The seventh from the northernmost
757,Ori,figure,24,Octava a borealissima,The eighth from the northernmost
758,Ori,figure,25,Reliqua et australissima earum quae sunt in pelle,The remaining and southernmost of those in the pelt
759,Ori,figure,26,Antecedens de tribus quae sunt in cingulo,The preceding of the three in the belt
760,Ori,figure,27,Media ipsarum,The middle of them
761,Ori,figure,28,Sequens de tribus,The following of the three
762,Ori,figure,29,Quae in ensis capulo,The one in the hilt of the sword
763,Ori,figure,30,Borealis de tribus conjunctis quae sunt in ensis extremitate,The northern of the three joined together at the tip of the sword
764,Ori,figure,31,Media ipsarum,The middle of them
765,Ori,figure,32,Australis de tribus,The southern of the three
766,Ori,figure,33,Sequens de duabus quae sunt sub ensis extremitate,The following of the two below the tip of the sword
767,Ori,figure,34,Praecedens ipsarum,The preceding of them
768,Ori,figure,35,Splendida quae est in extremitate pedis sinistri communis cum aqua,"The brilliant one at the tip of the left foot, shared with the water"
769,Ori,figure,36,Borealior ipsarum supra talum in tibia,"The one more northern than it, above the ankle, in the shin"
770,Ori,figure,37,Exterior sub sinistro calcaneo,The outer one below the left heel
771,Ori,figure,38,Quae sub dextro et sequenti genu,"The one below the right, following knee"
772,Eri,figure,1,Quae post illam quae est in extremo pede Orionis in principio fluvii,"The one after the star at the tip of Orion's foot, at the river's beginning"
773,Eri,figure,2,Borealior hac in flexu juxta suram Orionis,"The one more northern than it, at the bend by Orion's shin"
774,Eri,figure,3,Sequens de duabus quae post istam deinceps sunt,The following of the two next after it
775,Eri,figure,4,Praecedens ipsarum,The preceding of them
776,Eri,figure,5,Sequens duarum quae rursus deinceps sunt,The following of the two next again
777,Eri,figure,6,Praecedens ipsarum,The preceding of them
778,Eri,figure,7,Sequens de tribus quae post ipsam sunt,The following of the three after it
779,Eri,figure,8,Media ipsarum,The middle of them
780,Eri,figure,9,Praecedens de tribus,The preceding of the three
781,Eri,figure,10,Sequens de quatuor quae parum deinceps distant,The following of the four a little way onward
782,Eri,figure,11,Praecedens istam,The one preceding it
783,Eri,figure,12,Praecedens adhuc istam,The one preceding that still
784,Eri,figure,13,Praecedens de quatuor,The preceding of the four
785,Eri,figure,14,Sequens de quatuor quae parum deinceps distantia distant,The following of the four again a little apart
786,Eri,figure,15,Praecedens istam,The one preceding it
787,Eri,figure,16,Praecedens adhuc istam,The one preceding that still
788,Eri,figure,17,Praecedens de quatuor,The preceding of the four
789,Eri,figure,18,"Quae in flexu fluvii est, primumque tangit pectus Ceti","The one at the river's bend, first to touch the chest of Cetus"
790,Eri,figure,19,Sequens istam,The one following it
791,Eri,figure,20,Praecedens de tribus quae deinceps sunt,The preceding of the three next in order
792,Eri,figure,21,Media ipsarum,The middle of them
793,Eri,figure,22,Sequens de tribus,The following of the three
794,Eri,figure,23,Borealis antecedentis lateris de quatuor quae deinceps quasi quadrangulum faciunt,The northern one of the preceding side of the four that next make almost a quadrangle
795,Eri,figure,24,Australior antecedentis lateris,The more southern one of the preceding side
796,Eri,figure,25,Antecedens sequentis lateris,The preceding one of the following side
797,Eri,figure,26,Sequens hujus lateris et reliqua de quatuor,"The following one of this side, the last of the four"
798,Eri,figure,27,Borealis de duabus contiguis quae ab istis ad ortum distant,The northern of the two close-set stars at some distance eastward
799,Eri,figure,28,Australior ipsarum,The more southern of them
800,Eri,figure,29,Sequens duarum quae deinceps post flexum sunt,The following of the two next after the bend
801,Eri,figure,30,Praecedens ipsarum,The preceding of them
802,Eri,figure,31,Sequens de tribus quae deinceps in nonnulla distantia sunt,The following of the three next at some distance
803,Eri,figure,32,Media ipsarum,The middle of them
804,Eri,figure,33,Praecedens de tribus,The preceding of the three
805,Eri,figure,34,Ultima fluvii et est splendida,"The last of the river, and it is brilliant"
806,Lep,figure,1,Borealis antecedentis lateris quadrangulae figurae quae in auribus,The northern one of the preceding side of the quadrangular figure in the ears
807,Lep,figure,2,Australis antecedentis lateris,The southern one of the preceding side
808,Lep,figure,3,Borealis sequentis lateris,The northern one of the following side
809,Lep,figure,4,Australis sequentis lateris,The southern one of the following side
810,Lep,figure,5,Quae in mento est,The one in the chin
811,Lep,figure,6,Quae in extremitate anterioris sinistri pedis,The one at the tip of the front left foot
812,Lep,figure,7,Quae in medio corpore,The one in the middle of the body
813,Lep,figure,8,Quae sub ventre,The one below the belly
814,Lep,figure,9,"Borealior duarum, quae sunt in posterioribus pedibus",The more northern of the two in the hind feet
815,Lep,figure,10,Australior ipsarum,The more southern of them
816,Lep,figure,11,Quae in lumbis,The one in the loins
817,Lep,figure,12,Quae in extremitate caudae,The one at the tip of the tail
818,CMa,figure,1,"Quae in ore fulgentissima est,et vocatur Sirius,et est subrufa","The most brilliant one in the mouth, called Sirius, and it is reddish"
819,CMa,figure,2,Quae in auribus,The one in the ears
820,CMa,figure,3,Quae in capite,The one in the head
821,CMa,figure,4,Borealis duarum quae sunt in collo,The northern of the two in the neck
822,CMa,figure,5,Australis ipsarum,The southern of them
823,CMa,figure,6,Quae in pectore,The one in the chest
824,CMa,figure,7,Borealis duarum quae sunt in genu dextro,The northern of the two in the right knee
825,CMa,figure,8,Australior ipsarum,The more southern of them
826,CMa,figure,9,Quae in extremitate anterioris pedis,The one at the tip of the front foot
827,CMa,figure,10,Antecedens duarum quae sunt in genu sinistro,The preceding of the two in the left knee
828,CMa,figure,11,Sequens ipsarum,The following of them
829,CMa,figure,12,Sequens duarum quae sunt in humero sinistro,The following of the two in the left shoulder
830,CMa,figure,13,Praecedens ipsarum,The preceding of them
831,CMa,figure,14,Quae est in cruris sinistri radice,The one at the root of the left leg
832,CMa,figure,15,Quae sub ventre inter crura,"The one below the belly, between the legs"
833,CMa,figure,16,Quae in poplite pedis dextri,The one in the hollow of the right foot
834,CMa,figure,17,Quae in extremitate pedis dextri,The one at the tip of the right foot
835,CMa,figure,18,Quae in cauda,The one in the tail
836,CMa,unformed,1,Quae a septentrione capite canis,The one north of the Dog's head
837,CMa,unformed,2,Australissima de quatuor quae sunt sub posterioribus pedibus quasi ad rectam lineam,"The southernmost of the four below the hind feet, almost in a straight line"
838,CMa,unformed,3,Borealior hac,The one more northern than it
839,CMa,unformed,4,Borealior adhuc ista,The one more northern still
840,CMa,unformed,5,Reliqua et borealior de quatuor,The remaining and most northern of the four
841,CMa,unformed,6,Praecedens de tribus quae sunt ad occasum rerum istarum quatuor quasi ad rectam lineam,"The preceding of the three west of those four, almost in a straight line"
842,CMa,unformed,7,Media ipsarum,The middle of them
843,CMa,unformed,8,Sequens de tribus,The following of the three
844,CMa,unformed,9,Sequens de duabus splendidis quae sunt sub istis,The following of the two bright ones below them
845,CMa,unformed,10,Praecedens ipsarum,The preceding of them
846,CMa,unformed,11,Reliqua et australior supradictis,"The remaining one, more southern than those above"
847,CMi,figure,1,Quae in collo,The one in the neck
848,CMi,figure,2,Fulgens quae est in posterioribus et vocatur Procyon,"The bright one in the hindquarters, called Procyon"
849,Arg,figure,1,Praecedens duarum quae sunt in extremitate navis,The preceding of the two at the ship's end
850,Arg,figure,2,Sequens earum,The following of them
851,Arg,figure,3,Borealior duarum contiguarum quae sunt supra scutulum in puppi,The more northern of the two close together above the little shield in the stern
852,Arg,figure,4,Australior ipsarum,The more southern of them
853,Arg,figure,5,Praecedens istarum,The one preceding them
854,Arg,figure,6,Splendida quae est in medio scutulo,The brilliant one in the middle of the little shield
855,Arg,figure,7,Praecedens de tribus quae sunt sub scutulo,The preceding of the three below the little shield
856,Arg,figure,8,Sequens ipsarum,The following of them
857,Arg,figure,9,Media de tribus,The middle of the three
858,Arg,figure,10,Quae in χηνίσκου sive anserculo est,"The one in the cheniskos, or the little goose"
859,Arg,figure,11,Borealior duarum quae sunt in carina puppis,The more northern of the two in the keel of the stern
860,Arg,figure,12,Australior ipsarum,The more southern of them
861,Arg,figure,13,Borealior earum quae sunt in foris puppis,The more northern of those in the deck of the stern
862,Arg,figure,14,Praecedens de tribus quae deinceps sunt,The preceding of the three next in order
863,Arg,figure,15,Media ipsarum,The middle of them
864,Arg,figure,16,Sequens de tribus,The following of the three
865,Arg,figure,17,Splendida quae istas in foris sequitur,"The brilliant one following them, on the deck"
866,Arg,figure,18,"Praecedens de duabus obscuris, quae sunt sub splendida",The preceding of the two dim ones below the brilliant one
867,Arg,figure,19,Sequens ipsarum,The following of them
868,Arg,figure,20,Praecedens de duabus quae sunt supra splendidam dictam,The preceding of the two above the said brilliant one
869,Arg,figure,21,Sequens ipsarum,The following of them
870,Arg,figure,22,Borealis de tribus quae sunt in scutulis et est quasi in malo,"The northern of the three in the little shields, almost at the mast"
871,Arg,figure,23,Media ipsarum,The middle of them
872,Arg,figure,24,Australis de tribus,The southern of the three
873,Arg,figure,25,Borealior de duabus contiguis quae sunt sub istis,The more northern of the two close together below them
874,Arg,figure,26,Australior ipsarum,The more southern of them
875,Arg,figure,27,"Australis de duabus, quae sunt in medio malo",The southern of the two in the middle of the mast
876,Arg,figure,28,Borealior ipsarum,The more northern of them
877,Arg,figure,29,Praecedens de duabus quae sunt in extremitate mali,The preceding of the two at the tip of the mast
878,Arg,figure,30,Sequens ipsarum,The following of them
879,Arg,figure,31,Quae est sub tertia in sequento scutulo,"The one below the third, in the following little shield"
880,Arg,figure,32,Quae in abscissione fororum est,The one at the cut-off of the decking
881,Arg,figure,33,Quae inter gubernacula in carina,"The one between the steering-oars, in the keel"
882,Arg,figure,34,Sequens istam obscura,The dim one following it
883,Arg,figure,35,Splendida sequens istam sub foris,"The brilliant one following it, below the decks"
884,Arg,figure,36,Splendida quae ad meridiem istius est in inferiore carina,"The brilliant one to the south of it, lower in the keel"
885,Arg,figure,37,"Antecedens de tribus, quae istam sequuntur",The preceding of the three that follow it
886,Arg,figure,38,Media ipsarum,The middle of them
887,Arg,figure,39,Sequens de tribus,The following of the three
888,Arg,figure,40,Praecedens de duabus sequentibus has juxta abscissionem,"The preceding of the two following these, by the cut-off"
889,Arg,figure,41,Sequens ipsarum,The following of them
890,Arg,figure,42,Antecedens de duabus quae sunt in boreali et praecedenti gubernaculo,"The preceding of the two in the northern, preceding steering-oar"
891,Arg,figure,43,Sequens ipsarum,The following of them
892,Arg,figure,44,Praecedens duarum reliquarum in gubernaculo et vocatur Canopus,"The preceding of the two remaining, in the steering-oar, and it is called Canopus"
893,Arg,figure,45,Reliqua et sequens ipsarum,The remaining and following of them
894,Hya,figure,1,Australis duarum praecedentium de quinque quae sunt in capite et est in naribus,"The southern of the two preceding, of the five in the head, in the nostrils"
895,Hya,figure,2,Borealior ipsarum et est supra oculum,"The more northern of them, above the eye"
896,Hya,figure,3,Borealis de duabus sequentibus et est quasi in cranio,"The northern of the two following, almost in the skull"
897,Hya,figure,4,Australior ipsarum et est in oris hiatu,"The more southern of them, at the gape of the mouth"
898,Hya,figure,5,Quae omnes istas sequitur et est quasi in mento,"The one following them all, almost in the chin"
899,Hya,figure,6,Praecedens duarum quae sunt in radice colli,The preceding of the two at the root of the neck
900,Hya,figure,7,Sequens ipsarum,The following of them
901,Hya,figure,8,Media de tribus quae deinceps in flexu colli sunt,The middle of the three next along the bend of the neck
902,Hya,figure,9,Sequens de tribus,The following of the three
903,Hya,figure,10,Australissima ipsarum,The southernmost of them
904,Hya,figure,11,Borealis et obscura de duabus contiguis quae sunt ab austro,The northern and dim one of the two close together to the south
905,Hya,figure,12,Splendida de duabus contiguis,The bright one of the close pair
906,Hya,figure,13,Praecedens de tribus sequentibus post flexum,The preceding of the three following after the bend
907,Hya,figure,14,Media ipsarum,The middle of them
908,Hya,figure,15,Sequens de tribus,The following of the three
909,Hya,figure,16,Praecedens de tribus quae deinceps quasi ad rectam lineam sunt,"The preceding of the three next, almost in a straight line"
910,Hya,figure,17,Media ipsarum,The middle of them
911,Hya,figure,18,Sequens de tribus,The following of the three
912,Hya,figure,19,Borealis de duabus quae sunt post basim Craterae,The northern of the two behind the base of the Cup
913,Hya,figure,20,Australior ipsarum,The more southern of them
914,Hya,figure,21,Praecedens de tribus post istas quae sunt quasi in triangulo,"The preceding of the three after those, almost in a triangle"
915,Hya,figure,22,Media et australior ipsarum,The middle and more southern of them
916,Hya,figure,23,Sequens de tribus,The following of the three
917,Hya,figure,24,Quae post corvum est prope caudam,"The one after the Crow, near the tail"
918,Hya,figure,25,Quae in extremitate caudae,The one at the tip of the tail
919,Hya,unformed,1,Quae a meridie capitis,The one south of the head
920,Hya,unformed,2,Sequens eas quae in collo sunt non multum ab illis distans,"The one following those in the neck, not far distant from them"
921,Crt,figure,1,Quae in basi Craterae est communis cum Hydro,"The one in the base of the Cup, shared with the Water-Snake"
922,Crt,figure,2,Australior de duabus quae sunt in medio Craterae,The more southern of the two in the middle of the Cup
923,Crt,figure,3,Borealior ipsarum,The more northern of them
924,Crt,figure,4,Quae est in australi arcu oris,The one at the southern rim of the mouth
925,Crt,figure,5,Quae est in boreali arcu oris,The one at the northern rim of the mouth
926,Crt,figure,6,Quae est in ansa australi,The one in the southern handle
927,Crt,figure,7,Quae est in ansa boreali,The one in the northern handle
928,Crv,figure,1,Quae in rostro communis cum Hydro,"The one in the beak, shared with the Water-Snake"
929,Crv,figure,2,Quae est in collo juxta caput,"The one in the neck, by the head"
930,Crv,figure,3,Quae in pectore,The one in the breast
931,Crv,figure,4,Quae in antecedente dextraque ala,"The one in the preceding, right wing"
932,Crv,figure,5,Praecedens de duabus quae sunt in ala sequenti,The preceding of the two in the following wing
933,Crv,figure,6,Sequens ipsarum,The following of them
934,Crv,figure,7,Quae in extremo pede communis cum Hydro,"The one at the tip of the foot, shared with the Water-Snake"
935,Cen,figure,1,Australissima de quatuor quae sunt in capite,The southernmost of the four in the head
936,Cen,figure,2,Borealior ipsarum,The more northern of them
937,Cen,figure,3,Antecedens de duabus reliquis et mediis,"The preceding of the remaining two, in the middle"
938,Cen,figure,4,Sequens ipsarum et reliqua de quatuor,"The following of them, the last of the four"
939,Cen,figure,5,Quae in sinistro antecedentique humero,"The one in the left, preceding shoulder"
940,Cen,figure,6,Quae in humero dextro,The one in the right shoulder
941,Cen,figure,7,Quae in sinistra scapula,The one in the left shoulder-blade
942,Cen,figure,8,Borealior de duabus praecedentibus quae sunt in Thyrso,The more northern of the two preceding stars in the Thyrsus
943,Cen,figure,9,Australior ipsarum,The more southern of them
944,Cen,figure,10,De reliquis duabus quae est in extremo Thyrsi,"Of the remaining two, the one at the tip of the Thyrsus"
945,Cen,figure,11,Reliqua et australior hac,"The remaining one, more southern than it"
946,Cen,figure,12,Praecedens de tribus quae sunt in dextro latere,The preceding of the three in the right side
947,Cen,figure,13,Media ipsarum,The middle of them
948,Cen,figure,14,Sequens de tribus,The following of the three
949,Cen,figure,15,Quae est in dextro brachio,The one in the right arm
950,Cen,figure,16,Quae in dextro cubito,The one in the right elbow
951,Cen,figure,17,Quae in extremitate manus dextrae,The one at the tip of the right hand
952,Cen,figure,18,Splendida quae est in conjunctione humani corporis,The brilliant one at the join of the human body
953,Cen,figure,19,"Sequens de duabus obscuris, quae sunt borealiores hac",The following of the two dim ones more northern than it
954,Cen,figure,20,Praecedens ipsarum,The preceding of them
955,Cen,figure,21,Quae est in principio scapulae,The one at the start of the shoulder-blade
956,Cen,figure,22,Antecedens hanc in dorso equi,"The one preceding it, on the horse's back"
957,Cen,figure,23,Sequens de tribus quae sunt in lumbis,The following of the three in the loins
958,Cen,figure,24,Media ipsarum,The middle of them
959,Cen,figure,25,Antecedens de tribus,The preceding of the three
960,Cen,figure,26,Praecedens de duabus contiguis quae sunt in crure dextro,The preceding of the two close together in the right thigh
961,Cen,figure,27,Sequens ipsarum,The following of them
962,Cen,figure,28,Quae in pectore sub axilla equi,"The one in the chest, below the horse's armpit"
963,Cen,figure,29,Praecedens de duabus quae sunt sub ventre,The preceding of the two below the belly
964,Cen,figure,30,Sequens ipsarum,The following of them
965,Cen,figure,31,Quae est in poplite pedis dextri,The one in the hollow of the right foot
966,Cen,figure,32,Quae est in talo ejusdem pedis,The one in the ankle of the same foot
967,Cen,figure,33,Quae sub poplite sinistri pedis,The one below the hollow of the left foot
968,Cen,figure,34,Quae in sura ejusdem pedis,The one in the calf of the same foot
969,Cen,figure,35,Quae in extremo anterioris dextri pedis,The one at the tip of the front right foot
970,Cen,figure,36,Quae in genu sinistri pedis,The one in the knee of the left foot
971,Cen,figure,37,Quae est extra sub dextro posteriore pede,"The one outside, below the right hind foot"
972,Lup,figure,1,Quae in extremo posteriore pede apud manum Centauri,"The one at the tip of the hind foot, at the hand of the Centaur"
973,Lup,figure,2,Quae in poplite ejusdem pedis,The one in the hollow of the same foot
974,Lup,figure,3,Praecedens de duabus quae sunt in scapula,The preceding of the two in the shoulder
975,Lup,figure,4,Sequens earum,The following of them
976,Lup,figure,5,Quae in medio ferae corpore,The one in the middle of the beast's body
977,Lup,figure,6,Quae in ventre sub latere,"The one in the belly, below the flank"
978,Lup,figure,7,Quae in crure,The one in the thigh
979,Lup,figure,8,Borealior de duabus quae sunt juxta radicem cruris,The more northern of the two at the root of the thigh
980,Lup,figure,9,Australior ipsarum,The more southern of them
981,Lup,figure,10,Quae in extremis lumbis,The one at the end of the loins
982,Lup,figure,11,Australis de tribus quae sunt in extrema cauda,The southern of the three at the tip of the tail
983,Lup,figure,12,Media de tribus,The middle of the three
984,Lup,figure,13,Borealior ipsarum,The more northern of them
985,Lup,figure,14,Australior de duabus quae sunt in collo,The more southern of the two in the neck
986,Lup,figure,15,Borealior ipsarum,The more northern of them
987,Lup,figure,16,Praecedens de duabus quae sunt in rictu,The preceding of the two in the muzzle
988,Lup,figure,17,Sequens ipsarum,The following of them
989,Lup,figure,18,Australior de duabus quae sunt in anteriore pede,The more southern of the two in the front foot
990,Lup,figure,19,Borealior ipsarum,The more northern of them
991,Ara,figure,1,Borealior de duabus quae sunt in basi,The more northern of the two in the base
992,Ara,figure,2,Australior ipsarum,The more southern of them
993,Ara,figure,3,Quae est in media arae,The one in the middle of the altar
994,Ara,figure,4,Borealis de tribus quae sunt in foco,The northern of the three in the brazier
995,Ara,figure,5,Australior reliquarum et contiguarum duarum,"The more southern of the remaining two, close together"
996,Ara,figure,6,Borealior ipsarum,The more northern of them
997,Ara,figure,7,Quae est in extremitate,The one at the tip of the flame
998,CrA,figure,1,Antecedens extra australem arcum,"The preceding one, outside the southern arc"
999,CrA,figure,2,Quae ipsam sequitur et est in corona,"The one following it, in the crown"
1000,CrA,figure,3,Quae istam sequitur,The one following that
1001,CrA,figure,4,Sequens adhuc istam,The one following it still
1002,CrA,figure,5,Quae post istam est ante Sagittarii genu,"The one after that, before the knee of Sagittarius"
1003,CrA,figure,6,Quae post istam est borealior quam fulgens quae est in genu,"The one after it, more northern than the bright star in the knee"
1004,CrA,figure,7,Borealior hac,The one more northern than that
1005,CrA,figure,8,Adhuc borealior ista,The one more northern still
1006,CrA,figure,9,Sequens de duabus praecedentibus istam in boreali arcu,The following of the two preceding it in the northern arc
1007,CrA,figure,10,Praecedens de duabus obscuris,The preceding of the two dim ones
1008,CrA,figure,11,Hanc etiam satis praecedens,The one well preceding it
1009,CrA,figure,12,Adhuc istam praecedens,The one preceding that still
1010,CrA,figure,13,Reliqua et australior quam supradicta,"The remaining one, more southern than those above"
1011,PsA,figure,1,"Quae est in ore, est eadem cum principio aquae","The one in the mouth, the same as the beginning of the water"
1012,PsA,figure,2,Praecedens de tribus quae sunt in australi capitis circumferentia,The preceding of the three in the southern curve of the head
1013,PsA,figure,3,Media ipsarum,The middle of them
1014,PsA,figure,4,Sequens de tribus,The following of the three
1015,PsA,figure,5,Quae est ad branchias,The one at the gills
1016,PsA,figure,6,Quae est in dorsali australique spina,"The one in the southern, dorsal fin"
1017,PsA,figure,7,Sequens de duabus quae sunt in ventre,The following of the two in the belly
1018,PsA,figure,8,Antecedens ipsarum,The preceding of them
1019,PsA,figure,9,Sequens de tribus quae sunt in boreali spina,The following of the three in the northern fin
1020,PsA,figure,10,Media ipsarum,The middle of them
1021,PsA,figure,11,Praecedens de tribus,The preceding of the three
1022,PsA,figure,12,Quae in extrema cauda,The one at the tip of the tail
1023,PsA,unformed,1,Praecedens de tribus splendidis antecedentibus Piscem,The preceding of the three bright ones ahead of the Fish
1024,PsA,unformed,2,Media ipsarum,The middle of them
1025,PsA,unformed,3,Sequens de tribus,The following of the three
1026,PsA,unformed,4,Praecedens hanc et est obscura,"The one preceding it, and it is dim"
1027,PsA,unformed,5,Australior de duabus reliquis quae sunt in septentrione,"The more southern of the two remaining, to the north"
1028,PsA,unformed,6,Borealis ipsarum,The northern of them
