baily,constellation,member_type,seq,latin,english,caption
563,Sco,figure,18,Quae deinceps in sexto spondilo,"The next, in the sixth segment","The sixth segment, deep in the curve"
564,Sco,figure,19,Quae in septimo spondilo juxta aculeum,"The one in the seventh segment, by the sting","The seventh segment, hard by the sting"
565,Sco,figure,20,Sequens de duabus quae in aculeo sunt,The following of the two in the sting,The eastern barb of the two-star sting — Shaula
566,Sco,figure,21,Praecedens ipsarum,The preceding of them,The western barb of the sting
567,Sco,unformed,1,Quae aculeum sequitur et est nebulosa,"The one following the sting, and it is nebulous",
568,Sco,unformed,2,"Praecedens duarum, quae a septentrione aculei sunt",The preceding of the two north of the sting,
569,Sco,unformed,3,Sequens ipsarum,The following of them,
570,Sgr,figure,1,Quae in ferro sagittae,The one in the point of the arrow,"The point of the arrow, aimed at the Scorpion"
571,Sgr,figure,2,Quae in capulo sinistrae manus est,The one in the grip of the left hand,The grip of the left hand on the arrow's shaft
572,Sgr,figure,3,Quae in australi parte Sagittarii est,The one in the southern part of the Archer,The bow's southern arc
573,Sgr,figure,4,Australior earum quae sunt in boreali parte Sagittarii,The more southern of those in the northern part of the Archer,The lower star of the bow's northern arc
574,Sgr,figure,5,Borealior ipsarum et in extremitate arcus,"The more northern of them, and at the tip of the bow","The tip of the bow, northernmost — Kaus Borealis"
575,Sgr,figure,6,Quae in humero sinistro,The one in the left shoulder,"The Archer's left shoulder, the bow-arm"
576,Sgr,figure,7,Quae hanc praecedit et est in sagitta,"The one preceding it, and it is on the arrow","The star on the arrow, behind the grip"
577,Sgr,figure,8,Quae in oculo est nebulosa et bina,"The one in the eye, nebulous and double","The eye — nebulous and double, two faint things wrapped in haze"
578,Sgr,figure,9,Praecedens de tribus quae sunt in capite,The preceding of the three in the head,The western star of the three in the head
579,Sgr,figure,10,Media ipsarum,The middle of them,The middle star of the head
580,Sgr,figure,11,Sequens de tribus,The following of the three,The eastern star of the head
581,Sgr,figure,12,"Australior de tribus, quae in boreali interscapilio sunt",The more southern of the three in the northern shoulder-cloth,The southern star of the three in the northern shoulder-cloth
582,Sgr,figure,13,Media ipsarum,The middle of them,The middle star of the northern cloth
583,Sgr,figure,14,Borealis ipsarum,The northern of them,The northern star of the northern cloth
584,Sgr,figure,15,Obscura quae tres istas sequitur,The dim one following those three,The dim star trailing east of the northern cloth
585,Sgr,figure,16,Borealior de duabus quae in australi interscapilio sunt,The more northern of the two in the southern shoulder-cloth,The northern star of the southern shoulder-cloth pair
586,Sgr,figure,17,Australior ipsarum,The more southern of them,"The southern star of the southern cloth, where the back meets the tail"
587,Sgr,figure,18,Quae in humero dextro,The one in the right shoulder,The right shoulder of the draw-arm
588,Sgr,figure,19,Quae in cubito dextro,The one in the right elbow,"The right elbow, drawn back"
589,Sgr,figure,20,"De tribus quae sunt in scapula, quae prope occiput est","Of the three in the shoulder-blade, the one near the back of the head",The shoulder-blade star near the back of the head
590,Sgr,figure,21,Media ipsarum et in ipsa latitudine scapulae,"The middle of them, in the very breadth of the shoulder-blade","The middle star, in the breadth of the shoulder-blade"
591,Sgr,figure,22,Reliqua et quasi sub axilla,"The remaining one, almost under the armpit","The last of the shoulder-blade three, almost under the armpit"
592,Sgr,figure,23,Quae in anteriori sinistro talo,The one in the front left ankle,The front left ankle
593,Sgr,figure,24,Quae in genu ejusdem pedis,The one in the knee of the same leg,The knee of the same front left leg
594,Sgr,figure,25,Quae in anteriori dextro talo,The one in the front right ankle,The front right ankle
595,Sgr,figure,26,Quae in crure sinistro,The one in the left shin,"The left shin, below the rump"
596,Sgr,figure,27,Quae in posteriore dextro cubito,The one in the hind right elbow,The hind right elbow
597,Sgr,figure,28,Praecedens borealis lateris de quatuor quae sunt in radice caudae,The preceding one of the northern side of the four at the root of the tail,The northwest corner of the tail-root's quadrilateral
598,Sgr,figure,29,Sequens borealis lateris,The following one of the northern side,The northeast corner of the tail-root
599,Sgr,figure,30,Antecedens australis lateris,The preceding one of the southern side,The southwest corner of the tail-root
600,Sgr,figure,31,Sequens australis lateris,The following one of the southern side,The southeast corner of the tail-root
601,Cap,figure,1,Borealis de tribus quae sunt in sequenti cornu,The northern of the three in the following horn,The northern star of the three in the eastern horn — Algedi
602,Cap,figure,2,Media ipsarum,The middle of them,The middle star of the eastern horn
603,Cap,figure,3,Australis de tribus,The southern of the three,The southern star of the eastern horn — Dabih
604,Cap,figure,4,Quae in extremitate antecedentis cornu est,The one at the tip of the preceding horn,The lone tip of the western horn
605,Cap,figure,5,Australis de tribus quae sunt in rictu,The southern of the three in the muzzle,The southern star of the three in the muzzle
606,Cap,figure,6,Praecedens reliquarum duarum,The preceding of the remaining two,The western star of the muzzle's other two
607,Cap,figure,7,Sequens ipsarum,The following of them,"The eastern star of those two, at the lip"
608,Cap,figure,8,Praecedens de tribus quae sunt sub oculo dextro,The preceding of the three below the right eye,The western of the three below the right eye
609,Cap,figure,9,Borealior duarum quae sunt in collo,The more northern of the two in the neck,The northern star of the pair in the neck
610,Cap,figure,10,Australior earum,The more southern of them,The southern star of the neck pair
611,Cap,figure,11,Quae sub genu dextro,The one below the right knee,Below the right knee
612,Cap,figure,12,Quae est in genu sinistro atque flexo,"The one in the left, bent knee","The left knee, the one the catalogue calls bent"
613,Cap,figure,13,Quae in humero sinistro,The one in the left shoulder,The left shoulder of the goat half
614,Cap,figure,14,Praecedens duarum contiguarum quae sunt sub ventre,The preceding of the two close-set stars below the belly,The western of the close pair below the belly
615,Cap,figure,15,Sequens ipsarum,The following of them,The eastern of the belly pair
616,Cap,figure,16,Sequens de tribus quae sunt in medio corpore,The following of the three in the middle of the body,The eastern star of the mid-body three
617,Cap,figure,17,Australior reliquarum duarum antecedentium,"The more southern of the remaining two, preceding ones",The southern of the mid-body's western two
618,Cap,figure,18,Borealior ipsarum,The more northern of them,The northern of the mid-body's western two
619,Cap,figure,19,"Antecedens duarum, quae sunt in scapula",The preceding of the two in the back,The western star of the pair in the back
620,Cap,figure,20,Sequens ipsarum,The following of them,The eastern star of the back pair
621,Cap,figure,21,"Antecedens duarum, quae sunt in spina australi",The preceding of the two in the southern spine,The western star of the southern spine pair
622,Cap,figure,22,Sequens ipsarum,The following of them,The eastern star of the southern spine
623,Cap,figure,23,"Antecedens duarum, quae sunt apud caudam",The preceding of the two at the tail,The western star of the pair at the tail
624,Cap,figure,24,Sequens ipsarum,The following of them,The eastern star of the tail pair — Nashira
625,Cap,figure,25,"Antecedens de quatuor, quae sunt in boreali caudae parte",The preceding of the four in the northern part of the tail-fin,The western star of the four in the tail-fin
626,Cap,figure,26,Australis reliquarum trium,The southern of the remaining three,The southern star of the fin's other three — Deneb Algedi
627,Cap,figure,27,Media ipsarum,The middle of them,The middle star of those three
628,Cap,figure,28,Borealis ipsarum,The northern of them,The northern star of those three
629,Aqr,figure,1,Quae est in capite Aquarii,The one in the head of the Water-Pourer,The star in the Water-Pourer's head
630,Aqr,figure,2,"Fulgentior duarum, quae sunt in humero dextro",The brighter of the two in the right shoulder,The brighter star of the right shoulder — Sadalmelik
631,Aqr,figure,3,Quae sub ipsa obscurior,The dimmer one below it,The dimmer star below the right shoulder
632,Aqr,figure,4,Quae in humero sinistro,The one in the left shoulder,The left shoulder — Sadalsuud
633,Aqr,figure,5,Quae sub ipsa in scapula et quasi sub axilla,"The one below it, in the shoulder-blade, almost under the armpit","Below the left shoulder, almost under the armpit"
634,Aqr,figure,6,"Sequens de tribus, quae sunt in vestimento manus sinistrae",The following of the three in the drapery at the left hand,The eastern star of the three in the drapery at the left hand
635,Aqr,figure,7,Media ipsarum,The middle of them,The middle star of the drapery
636,Aqr,figure,8,Antecedens de tribus,The preceding of the three,The western star of the drapery
637,Aqr,figure,9,Quae in cubito dextro,The one in the right elbow,The right elbow of the pouring arm
638,Aqr,figure,10,"Borealis de tribus, quae sunt in extremitate manus dextrae",The northern of the three at the tip of the right hand,The northern star of the three at the right hand's tip — Sadachbia
639,Aqr,figure,11,Antecedens duarum reliquarum et borealium,"The preceding of the remaining two, northern ones",The western of the hand's other two
640,Aqr,figure,12,Sequens ipsarum,The following of them,The eastern of the hand's other two
641,Aqr,figure,13,"Praecedens duarum contiguarum, quae sunt in dextro vertebro",The preceding of the two close-set stars in the right hip,The western of the close pair in the right hip
642,Aqr,figure,14,Sequens ipsarum,The following of them,The eastern of the hip pair
643,Aqr,figure,15,Quae in dextro clune,The one in the right buttock,The right buttock
644,Aqr,figure,16,Australis duarum quae sunt in sinistro clune,The southern of the two in the left buttock,The southern star of the pair in the left buttock
645,Aqr,figure,17,Borealior ipsarum,The more northern of them,The northern star of that pair
646,Aqr,figure,18,Australior duarum quae sunt in tibia dextra,The more southern of the two in the right shin,The southern star of the pair in the right shin
647,Aqr,figure,19,Borealior ipsarum et est sub poplite,"The more northern of them, below the knee-hollow","The northern star of the right shin, below the knee-hollow"
648,Aqr,figure,20,Quae in posteriori sinistri cruris parte,The one at the back of the left leg,The back of the left leg
649,Aqr,figure,21,Australior duarum quae sunt in tibia sinistra,The more southern of the two in the left shin,The southern star of the pair in the left shin
650,Aqr,figure,22,Borealior ipsarum et est sub genu,"The more northern of them, below the knee","The northern star of the left shin, below the knee"
651,Aqr,figure,23,Antecedens duarum quae sunt in ipso aquae fluxu à manu,The preceding of the two in the very stream of water from the hand,"The first drop of water, in the stream as it leaves the hand"
652,Aqr,figure,24,Quae istam ex austro sequitur,"The one following it, from the south","The second star of the stream, south of the first"
653,Aqr,figure,25,Adhuc quae istam sequitur et est post flexum,"The one following it still, past the bend","The third, past the stream's first bend"
654,Aqr,figure,26,Quae istam adhuc sequitur,The one following it yet again,"The fourth, following the bend eastward"
655,Aqr,figure,27,Quae est in flexu a meridie istius,"The one in the bend, to the south of it",The star at the southern bend of the cascade
656,Aqr,figure,28,Borealior duarum quae adhuc a meridie istius sunt,The more northern of the two still further south of it,The northern of the falling pair below the bend
657,Aqr,figure,29,Australior ipsarum,The more southern of them,The southern of that falling pair
658,Aqr,figure,30,Solitaria ad meridiem istarum,The solitary one to the south of those,"The solitary drop, alone to the south"
659,Aqr,figure,31,Antecedens duarum contiguarum post ipsam,The preceding of the two close together after it,The western of the close pair after the solitary drop
660,Aqr,figure,32,Sequens ipsarum,The following of them,The eastern of that close pair
661,Aqr,figure,33,Borealis de tribus quae sunt in convolutione sequenti,The northern of the three in the following coil,The northern star of the eastern coil's three
662,Aqr,figure,34,Media de tribus,The middle of the three,The middle star of the eastern coil
663,Aqr,figure,35,Sequens ipsarum,The following of them,The eastern star of the eastern coil
664,Aqr,figure,36,Borealis de tribus quae deinceps similiter sunt,The northern of the three in the next row likewise,The northern star of the next coil's three
665,Aqr,figure,37,Media ipsarum,The middle of them,The middle star of that coil
666,Aqr,figure,38,Australior ipsis de tribus,The more southern of the three,The southern star of that coil
667,Aqr,figure,39,"Praecedens de tribus, quae sunt in reliqua convolutione",The preceding of the three in the remaining coil,The western star of the last coil's three
668,Aqr,figure,40,Australior reliquarum duarum,The more southern of the remaining two,The southern of the last coil's other two
669,Aqr,figure,41,Borealior ipsarum,The more northern of them,The northern of the last coil's other two
670,Aqr,figure,42,Aquae ipsius ultima et est in ore Piscis Austrinus,"The last star of the water itself, in the mouth of the Southern Fish","The last star of the water, falling into the mouth of the Southern Fish — Fomalhaut"
671,Aqr,unformed,1,"Praecedens de tribus, quae flexum id est curvaturam aquae sequuntur","The preceding of the three following the bend — that is, the curve — of the water",
672,Aqr,unformed,2,Borealior reliquarum duarum,The more northern of the remaining two,
673,Aqr,unformed,3,Australior ipsarum,The more southern of them,
674,Psc,figure,1,Quae in antecedentis Piscis ore,The one in the mouth of the preceding Fish,"The mouth of the western Fish, at its pointed snout"
675,Psc,figure,2,Australior duarum quae sunt in cranio ejus,The more southern of the two in its skull,The southern star of the pair in its skull
676,Psc,figure,3,Borealior ipsarum,The more northern of them,The northern star of the skull pair
677,Psc,figure,4,Antecedens duarum quae sunt in dorso,The preceding of the two in the back,The western star of the pair in the back
678,Psc,figure,5,Sequens ipsarum,The following of them,The eastern star of the back pair
679,Psc,figure,6,Antecedens duarum quae sunt in ventre,The preceding of the two in the belly,The western star of the pair in the belly
680,Psc,figure,7,Sequens ipsarum,The following of them,The eastern star of the belly pair
681,Psc,figure,8,Quae est in cauda Piscis ejusdem,The one in the tail of the same Fish,"The tail of the western Fish, where the cord begins"
682,Psc,figure,9,Prima post caudam in lino,"The first after the tail, on the cord","First star of the cord, just past the tail"
683,Psc,figure,10,Sequens ipsarum,The one following it,Second star of the cord
684,Psc,figure,11,"Antecedens de tribus splendidis, quae deinceps sunt",The preceding of the three bright ones next in order,The western of the three bright cord stars
685,Psc,figure,12,Media ipsarum,The middle of them,The middle of the bright three
686,Psc,figure,13,Sequens de tribus,The following of the three,The eastern of the bright three
687,Psc,figure,14,"Borealior duarum parvarum, quae sub ipsis in flexu sunt","The more northern of the two small ones below them, in the bend",The northern of the two small stars at the cord's dip
688,Psc,figure,15,Australior ipsarum,The more southern of them,The southern of the two small dip stars
689,Psc,figure,16,Praecedens de tribus quae sunt post flexum,The preceding of the three after the bend,The western star of the three beyond the dip
690,Psc,figure,17,Media ipsarum,The middle of them,The middle star of those three
691,Psc,figure,18,Sequens de tribus,The following of the three,"The eastern star of those three, nearest the Knot"
692,Psc,figure,19,Quae est in nodo linorum duorum,The one at the knot of the two cords,The Knot where the two cords are tied — Alrescha
693,Psc,figure,20,Antecedens earum quae sunt a nodo in boreali lino,The preceding of those running from the knot along the northern cord,The first star up the northern cord from the Knot
694,Psc,figure,21,Australis de tribus quae deinceps post ipsam sunt,The southern of the three next after it,The southern star of the trio along the northern cord
695,Psc,figure,22,Media ipsarum,The middle of them,The middle star of that trio
696,Psc,figure,23,Borealis de tribus et est in extremitate caudae,"The northern of the three, at the tip of the tail","The northern star of the trio, at the eastern Fish's tail"
697,Psc,figure,24,Borealior duarum quae sunt in ore piscis sequentis,The more northern of the two in the mouth of the following Fish,The northern star of the pair in the eastern Fish's mouth
698,Psc,figure,25,Australior ipsarum,The more southern of them,The southern star of that mouth pair
699,Psc,figure,26,Sequens de tribus parvis quae sunt in capite,The following of the three small ones in the head,The eastern star of the three small head stars
700,Psc,figure,27,Media ipsarum,The middle of them,The middle small star of the head
701,Psc,figure,28,Antecedens de tribus,The preceding of the three,The western small star of the head
702,Psc,figure,29,"Praecedens de tribus quae in australi spina, post cubitum Andromedae","The preceding of the three in the southern fin, behind the elbow of Andromeda","The western star of the southern fin, behind Andromeda's elbow"
703,Psc,figure,30,Media ipsarum,The middle of them,The middle star of the southern fin
704,Psc,figure,31,Sequens ipsarum,The following of them,The eastern star of the southern fin
705,Psc,figure,32,Borealior duarum quae sunt in ventre,The more northern of the two in the belly,The northern star of the pair in the eastern Fish's belly
706,Psc,figure,33,Australior ipsarum,The more southern of them,The southern star of that belly pair
707,Psc,figure,34,Quae est in spina sequenti juxta caudam,"The one in the following fin, by the tail","The star in the eastern fin, hard by the tail"
708,Psc,unformed,1,Praecedens de duabus borealibus quadrilaterae figurae quae est sub Pisce antecedente,The preceding of the two northern ones of the quadrilateral figure below the preceding Fish,
709,Psc,unformed,2,Sequens earum,The following of them,
710,Psc,unformed,3,Praecedens australis lateris,The preceding one of the southern side,
711,Psc,unformed,4,Sequens australis lateris,The following one of the southern side,
712,Cet,figure,1,Quae in extremitate naris,The one at the tip of the nostrils,The tip of the Sea-Monster's nostrils
713,Cet,figure,2,"Sequens de tribus quae sunt in rictu, et est in extrema maxilla","The following of the three in the muzzle, at the end of the jaw","The end of the jaw, easternmost of the muzzle's three"
714,Cet,figure,3,Media ipsarum et est in ore medio,"The middle of them, in the middle of the mouth",The middle of the open mouth
715,Cet,figure,4,Praecedens de tribus et est in mento,"The preceding of the three, in the chin","The western muzzle star, in the chin"
716,Cet,figure,5,Quae est in supercilio et in oculo,The one at the eyebrow and the eye,"The eye, at the eyebrow"
717,Cet,figure,6,Borealior hac et est quasi in capillis,"The one more northern than it, almost in the hair","North of the eye, almost in the hair"
718,Cet,figure,7,"Praecedens hanc, et est quasi in juba","The one preceding it, almost in the mane","West of the hair, almost in the mane"
719,Cet,figure,8,Borealis antecedentis lateris quadrilaterae figurae quae est in pectore,The northern one of the preceding side of the quadrilateral figure in the chest,The northwest corner of the chest's quadrilateral
720,Cet,figure,9,Australis antecedentis lateris,The southern one of the preceding side,The southwest corner of the chest
721,Cet,figure,10,Borealis sequentis lateris,The northern one of the following side,The northeast corner of the chest
722,Cet,figure,11,Australis sequentis lateris,The southern one of the following side,The southeast corner of the chest
723,Cet,figure,12,Media de tribus quae sunt in corpore,The middle of the three in the body,The middle star of the three in the body
724,Cet,figure,13,Australis ipsarum,The southern of them,The southern star of the body's three
725,Cet,figure,14,Borealis de tribus,The northern of the three,The northern star of the body's three
726,Cet,figure,15,Sequens duarum quae sunt juxta caudam,The following of the two by the tail,The eastern star of the pair by the tail
727,Cet,figure,16,Antecedens ipsarum,The preceding of them,The western star of that pair
728,Cet,figure,17,"Borealis sequentis lateris figurae quadrilaterae, quae est in cauda",The northern one of the following side of the quadrilateral figure in the tail,The northeast corner of the tail's quadrilateral
729,Cet,figure,18,Australis sequentis lateris,The southern one of the following side,The southeast corner of the tail
730,Cet,figure,19,Borealis praecedentis lateris,The northern one of the preceding side,The northwest corner of the tail
731,Cet,figure,20,Australis praecedentis lateris,The southern one of the preceding side,The southwest corner of the tail
732,Cet,figure,21,"De duabus quae sunt in extremis caudae, quae in boreali est","Of the two at the tail's ends, the one in the north",The northern tip of the tail's fluke
733,Cet,figure,22,Quae in extremitate australi caudae,The one at the southern tip of the tail,The southern tip of the fluke
734,Ori,figure,1,Nebulosa quae in capite Orionis est,The nebulous one in the head of Orion,The Hunter's head — a nebulous glow between the shoulders
735,Ori,figure,2,Splendida quae in humero dextro et est subrufa,"The brilliant one in the right shoulder, reddish","The right shoulder, brilliant and reddish — Betelgeuse"
736,Ori,figure,3,Quae in humero sinistro,The one in the left shoulder,The left shoulder — Bellatrix
737,Ori,figure,4,Quae sub ista sequitur,The one following below it,The star trailing below Bellatrix
738,Ori,figure,5,Quae est in cubito dextro,The one in the right elbow,"The right elbow, raising the club"
739,Ori,figure,6,Quae in brachio dextro,The one in the right arm,The star in the right arm
740,Ori,figure,7,Sequens et bina australis lateris figurae quadrilaterae quae est in extremitate manus dextrae,The following and double one of the southern side of the quadrilateral figure at the tip of the right hand,"The southeast corner of the fist — a double star, says the catalogue"
741,Ori,figure,8,Antecedens australis lateris,The preceding one of the southern side,The southwest corner of the fist
742,Ori,figure,9,Sequens borealis lateris,The following one of the northern side,The northeast corner of the fist
743,Ori,figure,10,Praecedens borealis lateris,The preceding one of the northern side,The northwest corner of the fist
744,Ori,figure,11,Praecedens de duabus quae sunt in collorobo,The preceding of the two in the club,The western star of the two in the club
745,Ori,figure,12,Sequens ipsarum,The following of them,"The eastern star of the club, swung high"
746,Ori,figure,13,Sequens de quatuor quae sunt in scapula quasi ad rectam lineam,"The following of the four in the shoulder-blade, almost in a straight line",The eastern end of the shoulder-blade's straight line of four
747,Ori,figure,14,Praecedens istam,The one preceding it,Second star west along the shoulder-blade line
748,Ori,figure,15,Quae adhuc hanc praecedit,The one preceding that still,Third star west along the line
749,Ori,figure,16,Reliqua et antecedens de quatuor,The remaining and preceding one of the four,The western end of the shoulder-blade line
750,Ori,figure,17,Borealissima earum quae sunt in pelle manus sinistrae,The northernmost of those in the pelt of the left hand,The northern end of the pelt raised on the left arm
751,Ori,figure,18,Secunda a borealissima,The second from the northernmost,Second star down the pelt's edge
752,Ori,figure,19,Tertia a borealissima,The third from the northernmost,Third star down the pelt
753,Ori,figure,20,Quarta a borealissima,The fourth from the northernmost,Fourth star down the pelt
754,Ori,figure,21,Quinta a borealissima,The fifth from the northernmost,Fifth star down the pelt
755,Ori,figure,22,Sexta a borealissima,The sixth from the northernmost,Sixth star down the pelt
756,Ori,figure,23,Septima a borealissima,The seventh from the northernmost,Seventh star down the pelt
757,Ori,figure,24,Octava a borealissima,The eighth from the northernmost,Eighth star down the pelt
758,Ori,figure,25,Reliqua et australissima earum quae sunt in pelle,The remaining and southernmost of those in the pelt,The southern end of the pelt's nine
759,Ori,figure,26,Antecedens de tribus quae sunt in cingulo,The preceding of the three in the belt,The western star of the belt — Mintaka
760,Ori,figure,27,Media ipsarum,The middle of them,The middle star of the belt — Alnilam
761,Ori,figure,28,Sequens de tribus,The following of the three,The eastern star of the belt — Alnitak
762,Ori,figure,29,Quae in ensis capulo,The one in the hilt of the sword,"The hilt of the sword, hanging west below the belt"
763,Ori,figure,30,Borealis de tribus conjunctis quae sunt in ensis extremitate,The northern of the three joined together at the tip of the sword,The northern of the three joined at the sword's tip — the Great Nebula shines here
764,Ori,figure,31,Media ipsarum,The middle of them,The middle of the sword-tip's three
765,Ori,figure,32,Australis de tribus,The southern of the three,The southern of the sword-tip's three
766,Ori,figure,33,Sequens de duabus quae sunt sub ensis extremitate,The following of the two below the tip of the sword,The eastern star of the pair below the sword
767,Ori,figure,34,Praecedens ipsarum,The preceding of them,The western star of that pair
768,Ori,figure,35,Splendida quae est in extremitate pedis sinistri communis cum aqua,"The brilliant one at the tip of the left foot, shared with the water","The left foot, brilliant, shared with the River — Rigel"
769,Ori,figure,36,Borealior ipsarum supra talum in tibia,"The one more northern than it, above the ankle, in the shin","Above the ankle, in the shin over Rigel"
770,Ori,figure,37,Exterior sub sinistro calcaneo,The outer one below the left heel,The outer star below the left heel
771,Ori,figure,38,Quae sub dextro et sequenti genu,"The one below the right, following knee","Below the right knee, on the eastern side"
772,Eri,figure,1,Quae post illam quae est in extremo pede Orionis in principio fluvii,"The one after the star at the tip of Orion's foot, at the river's beginning","The river's first star, rising beside Orion's foot"
773,Eri,figure,2,Borealior hac in flexu juxta suram Orionis,"The one more northern than it, at the bend by Orion's shin","North of the source, at the bend by Orion's shin"
774,Eri,figure,3,Sequens de duabus quae post istam deinceps sunt,The following of the two next after it,The eastern star of the first meander's pair
775,Eri,figure,4,Praecedens ipsarum,The preceding of them,The western star of that pair
776,Eri,figure,5,Sequens duarum quae rursus deinceps sunt,The following of the two next again,The eastern star of the second pair
777,Eri,figure,6,Praecedens ipsarum,The preceding of them,The western star of the second pair
778,Eri,figure,7,Sequens de tribus quae post ipsam sunt,The following of the three after it,The eastern star of the trio that follows
779,Eri,figure,8,Media ipsarum,The middle of them,The middle star of that trio
780,Eri,figure,9,Praecedens de tribus,The preceding of the three,The western star of that trio
781,Eri,figure,10,Sequens de quatuor quae parum deinceps distant,The following of the four a little way onward,The eastern star of the first four-star reach
782,Eri,figure,11,Praecedens istam,The one preceding it,Second star west along the first reach
783,Eri,figure,12,Praecedens adhuc istam,The one preceding that still,Third star west along the first reach
784,Eri,figure,13,Praecedens de quatuor,The preceding of the four,The western end of the first reach
785,Eri,figure,14,Sequens de quatuor quae parum deinceps distantia distant,The following of the four again a little apart,The eastern star of the second four-star reach
786,Eri,figure,15,Praecedens istam,The one preceding it,Second star west along the second reach
787,Eri,figure,16,Praecedens adhuc istam,The one preceding that still,Third star west along the second reach
788,Eri,figure,17,Praecedens de quatuor,The preceding of the four,The western end of the second reach
789,Eri,figure,18,"Quae in flexu fluvii est, primumque tangit pectus Ceti","The one at the river's bend, first to touch the chest of Cetus",The great bend — the star that first touches the chest of Cetus
790,Eri,figure,19,Sequens istam,The one following it,The star following the bend
791,Eri,figure,20,Praecedens de tribus quae deinceps sunt,The preceding of the three next in order,The western star of the trio in the long southern run
792,Eri,figure,21,Media ipsarum,The middle of them,The middle star of that trio
793,Eri,figure,22,Sequens de tribus,The following of the three,The eastern star of that trio
794,Eri,figure,23,Borealis antecedentis lateris de quatuor quae deinceps quasi quadrangulum faciunt,The northern one of the preceding side of the four that next make almost a quadrangle,The northern star of the pool's western side
795,Eri,figure,24,Australior antecedentis lateris,The more southern one of the preceding side,The southern star of the pool's western side
796,Eri,figure,25,Antecedens sequentis lateris,The preceding one of the following side,The nearer star of the pool's eastern side
797,Eri,figure,26,Sequens hujus lateris et reliqua de quatuor,"The following one of this side, the last of the four","The far star of the pool's eastern side, last of its four"
798,Eri,figure,27,Borealis de duabus contiguis quae ab istis ad ortum distant,The northern of the two close-set stars at some distance eastward,The northern of the close pair some way east of the pool
799,Eri,figure,28,Australior ipsarum,The more southern of them,The southern of that close pair
800,Eri,figure,29,Sequens duarum quae deinceps post flexum sunt,The following of the two next after the bend,The eastern star of the pair past the last bend
801,Eri,figure,30,Praecedens ipsarum,The preceding of them,The western star of that pair
802,Eri,figure,31,Sequens de tribus quae deinceps in nonnulla distantia sunt,The following of the three next at some distance,The eastern star of the final trio
803,Eri,figure,32,Media ipsarum,The middle of them,The middle star of the final trio
804,Eri,figure,33,Praecedens de tribus,The preceding of the three,The western star of the final trio
805,Eri,figure,34,Ultima fluvii et est splendida,"The last of the river, and it is brilliant","The last star of the river, and it is brilliant — Acamar"
806,Lep,figure,1,Borealis antecedentis lateris quadrangulae figurae quae in auribus,The northern one of the preceding side of the quadrangular figure in the ears,The northwest corner of the quadrangle in the Hare's ears
807,Lep,figure,2,Australis antecedentis lateris,The southern one of the preceding side,The southwest corner of the ears
808,Lep,figure,3,Borealis sequentis lateris,The northern one of the following side,The northeast corner of the ears
809,Lep,figure,4,Australis sequentis lateris,The southern one of the following side,The southeast corner of the ears
810,Lep,figure,5,Quae in mento est,The one in the chin,The Hare's chin
811,Lep,figure,6,Quae in extremitate anterioris sinistri pedis,The one at the tip of the front left foot,"The tip of the front left foot, tucked to the chin"
812,Lep,figure,7,Quae in medio corpore,The one in the middle of the body,The middle of the crouched body — Arneb
813,Lep,figure,8,Quae sub ventre,The one below the belly,Below the belly
814,Lep,figure,9,"Borealior duarum, quae sunt in posterioribus pedibus",The more northern of the two in the hind feet,The northern star of the pair in the hind feet
815,Lep,figure,10,Australior ipsarum,The more southern of them,The southern star of the hind-feet pair
816,Lep,figure,11,Quae in lumbis,The one in the loins,The star in the loins
817,Lep,figure,12,Quae in extremitate caudae,The one at the tip of the tail,The tip of the Hare's tail
818,CMa,figure,1,"Quae in ore fulgentissima est,et vocatur Sirius,et est subrufa","The most brilliant one in the mouth, called Sirius, and it is reddish","The most brilliant star in the sky, in the Dog's mouth — Sirius, which the catalogue calls reddish"
819,CMa,figure,2,Quae in auribus,The one in the ears,The star in the ears
820,CMa,figure,3,Quae in capite,The one in the head,The star in the head
821,CMa,figure,4,Borealis duarum quae sunt in collo,The northern of the two in the neck,The northern star of the pair in the neck
822,CMa,figure,5,Australis ipsarum,The southern of them,The southern star of the neck pair
823,CMa,figure,6,Quae in pectore,The one in the chest,The Dog's chest
824,CMa,figure,7,Borealis duarum quae sunt in genu dextro,The northern of the two in the right knee,The northern star of the right knee pair
825,CMa,figure,8,Australior ipsarum,The more southern of them,The southern star of the right knee pair
826,CMa,figure,9,Quae in extremitate anterioris pedis,The one at the tip of the front foot,The tip of the front foot — Mirzam
827,CMa,figure,10,Antecedens duarum quae sunt in genu sinistro,The preceding of the two in the left knee,The western star of the left knee pair
828,CMa,figure,11,Sequens ipsarum,The following of them,The eastern star of the left knee pair
829,CMa,figure,12,Sequens duarum quae sunt in humero sinistro,The following of the two in the left shoulder,The eastern star of the left shoulder pair
830,CMa,figure,13,Praecedens ipsarum,The preceding of them,The western star of the left shoulder pair
831,CMa,figure,14,Quae est in cruris sinistri radice,The one at the root of the left leg,The root of the hind left leg — Wezen
832,CMa,figure,15,Quae sub ventre inter crura,"The one below the belly, between the legs","Below the belly, between the legs"
833,CMa,figure,16,Quae in poplite pedis dextri,The one in the hollow of the right foot,The hollow of the right hind foot
834,CMa,figure,17,Quae in extremitate pedis dextri,The one at the tip of the right foot,The tip of the right hind foot — Adhara
835,CMa,figure,18,Quae in cauda,The one in the tail,The star in the tail — Aludra
